name,layer,id,glottocode,year,map_name_full,tessellate,extrude,visibility,Family,Dialect,description
Dagoman,Wardaman,106,dago1245,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,y,
Bularnu,Warluwarric,107,bula1255,traditional,Files for Australian Language Locations,1,0,-1,,,
Yanyuwa,Warluwarric,108,yany1243,traditional,Files for Australian Language Locations,1,0,-1,,,
Yindjilandji,Warluwarric,109,yind1248,traditional,Files for Australian Language Locations,1,0,-1,,,
Wakaya,Warluwarric,110,waga1260,traditional,Files for Australian Language Locations,1,0,-1,,,
Warumungu,Warumungic,111,waru1265,traditional,Files for Australian Language Locations,1,0,-1,,,
Wirangu,Thura-Yura,113,wira1265,traditional,Files for Australian Language Locations,1,0,-1,,,
Guyani,Thura-Yura,114,guya1249,traditional,Files for Australian Language Locations,1,0,-1,,,
Guwar,Turubulic,115,guwa1244,traditional,Files for Australian Language Locations,1,0,-1,,,
Nunukal,Turubulic,116,jand1248,traditional,Files for Australian Language Locations,1,0,-1,,,"Related to yagara, given by Tindale as the name of the Northern group of Stradbroke Island.

(changed from Nukunul to Nunukal per Bill Pascoe)"
Yagara,Turubulic,117,yaga1256,traditional,Files for Australian Language Locations,1,0,-1,,,
Turrbul,Turubulic,119,yaga1256,traditional,Files for Australian Language Locations,1,0,-1,,,
Janday,Turubulic,120,jand1248,traditional,Files for Australian Language Locations,1,0,-1,,,"Djindewal, Jandai"
Umbugarla,Umbugarlan,121,ngur1260,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Ngaduk,Umbugarlan,122,gaga1251,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,"In Birch's 2006 map, Ngaduk is also shown on the Western side of the river, north of Gonbudj."
Ngomburr,Umbugarlan,123,ngur1260,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Bukurnidja,Umbugarlan,124,umbu1235,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Wuli Wuli,Waka-Kabi,125,wuli1242,traditional,Files for Australian Language Locations,1,0,-1,,,
Gonbudj,Umbugarlan,126,umbu1235,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Bayali,Waka-Kabi,127,baya1257,traditional,Files for Australian Language Locations,1,0,-1,,,
Barunggam,Waka-Kabi,128,waka1274,traditional,Files for Australian Language Locations,1,0,-1,,,
