ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
91,Batyala,,,,baty1234,traditional,bowern2021australia,features,feature,map_1
92,GoorengGooreng,,,,gure1255,traditional,bowern2021australia,features,feature,map_1
93,Gubbi Gubbi,,,,duun1241,traditional,bowern2021australia,features,feature,map_1
94,Yangman,,,,yang1288,traditional,bowern2021australia,features,feature,map_1
95,Wardaman,,,,ward1246,traditional,bowern2021australia,features,feature,map_1
96,Warluwarra,,,,warl1256,traditional,bowern2021australia,features,feature,map_1
97,Dagoman,,,,dago1245,traditional,bowern2021australia,features,feature,map_1
98,Bularnu,,,,bula1255,traditional,bowern2021australia,features,feature,map_1
99,Yanyuwa,,,,yany1243,traditional,bowern2021australia,features,feature,map_1
100,Yindjilandji,,,,yind1248,traditional,bowern2021australia,features,feature,map_1
101,Wakaya,,,,waga1260,traditional,bowern2021australia,features,feature,map_1
102,Warumungu,,,,waru1265,traditional,bowern2021australia,features,feature,map_1
103,Wirangu,,,,wira1265,traditional,bowern2021australia,features,feature,map_1
104,Guyani,,,,guya1249,traditional,bowern2021australia,features,feature,map_1
105,Guwar,,,,guwa1244,traditional,bowern2021australia,features,feature,map_1
106,Nunukal,,,,jand1248,traditional,bowern2021australia,features,feature,map_1
107,Yagara,,,,yaga1256,traditional,bowern2021australia,features,feature,map_1
108,Turrbul,,,,yaga1256,traditional,bowern2021australia,features,feature,map_1
109,Janday,,,,jand1248,traditional,bowern2021australia,features,feature,map_1
110,Umbugarla,,,,ngur1260,traditional,bowern2021australia,features,feature,map_1
111,Ngaduk,,,,gaga1251,traditional,bowern2021australia,features,feature,map_1
112,Ngomburr,,,,ngur1260,traditional,bowern2021australia,features,feature,map_1
113,Bukurnidja,,,,umbu1235,traditional,bowern2021australia,features,feature,map_1
114,Wuli Wuli,,,,wuli1242,traditional,bowern2021australia,features,feature,map_1
115,Gonbudj,,,,umbu1235,traditional,bowern2021australia,features,feature,map_1
116,Bayali,,,,baya1257,traditional,bowern2021australia,features,feature,map_1
117,Barunggam,,,,waka1274,traditional,bowern2021australia,features,feature,map_1
118,Pinjarup,,,,pinj1244,traditional,bowern2021australia,features,feature,map_1
119,Wiilman,,,,nyun1247,traditional,bowern2021australia,features,feature,map_1
120,Wardandi,,,,ward1248,traditional,bowern2021australia,features,feature,map_1
121,Bibbulman,,,,bibb1234,traditional,bowern2021australia,features,feature,map_1
122,Lardil,,,,lard1243,traditional,bowern2021australia,features,feature,map_1
123,Kaniyang,,,,kani1276,traditional,bowern2021australia,features,feature,map_1
124,Kayardild,,,,kaya1319,traditional,bowern2021australia,features,feature,map_1
125,Yukulta,,,,gang1267,traditional,bowern2021australia,features,feature,map_1
126,Ngadjuri,,,,ngad1257,traditional,bowern2021australia,features,feature,map_1
127,Minkin,,,,mink1237,traditional,bowern2021australia,features,feature,map_1
128,Parnkala,,,,bang1339,traditional,bowern2021australia,features,feature,map_1
129,Nauo,,,,nauo1235,traditional,bowern2021australia,features,feature,map_1
130,Adnyamathanha,,,,adny1235,traditional,bowern2021australia,features,feature,map_1
131,Nukunu,,,,nugu1241,traditional,bowern2021australia,features,feature,map_1
132,Narrungga,,,,naru1238,traditional,bowern2021australia,features,feature,map_1
133,Kaurna,,,,kaur1267,traditional,bowern2021australia,features,feature,map_1
134,Wagaman,,,,wami1239,traditional,bowern2021australia,features,feature,map_1
135,Mbara,,,,mbar1254,traditional,bowern2021australia,features,feature,map_1
136,Ngan'gityemerri,,,,nang1259,traditional,bowern2021australia,features,feature,map_1
137,Murrinh-patha,,,,murr1258,traditional,bowern2021australia,features,feature,map_1
138,Kuthant,,,,kuth1240,traditional,bowern2021australia,features,feature,map_1
139,Mirniny,,,,mirn1245,traditional,bowern2021australia,features,feature,map_1
140,Kurtjar,,,,gurd1238,traditional,bowern2021australia,features,feature,map_1
